2026-01-05 19:14:03,249 | INFO | Process-8 | Number of clauses: 1862902
2026-01-05 19:14:03,249 | INFO | Process-8 | Real nums of clauses: 1864218
2026-01-05 19:14:03,249 | INFO | Process-8 | Real nums of variables: 375275
2026-01-05 19:14:04,361 | INFO | Process-8 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w54.cnf
2026-01-05 19:14:04,362 | INFO | Process-8 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w54.cnf
2026-01-05 19:14:07,537 | INFO | Process-8 | [PAINLESS] status=SAT rc=10 time=3.18s
2026-01-05 19:14:07,537 | RESULT | Process-8 | [PAINLESS] result: status=SAT time=3.18s rc=10
2026-01-05 19:14:07,538 | RESULT | Process-8 | [PAINLESS] Shortcut: SAT at width=54
2026-01-05 19:14:07,538 | RESULT | Process-8 | Time taken: 5.896411418914795 seconds
2026-01-05 19:14:07,674 | INFO | MainProcess | Found a solution 54
2026-01-05 19:14:07,674 | INFO | MainProcess | [Test k=221, w=54] Time: 6.03 seconds
2026-01-05 19:14:09,188 | INFO | Process-9 | Number of variables: 375277
2026-01-05 19:14:09,189 | INFO | Process-9 | Number of clauses: 1867966
2026-01-05 19:14:09,189 | INFO | Process-9 | Real nums of clauses: 1869286
2026-01-05 19:14:09,189 | INFO | Process-9 | Real nums of variables: 375275
2026-01-05 19:14:10,270 | INFO | Process-9 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w55.cnf
2026-01-05 19:14:10,272 | INFO | Process-9 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w55.cnf
2026-01-05 19:14:13,395 | INFO | Process-9 | [PAINLESS] status=SAT rc=10 time=3.12s
2026-01-05 19:14:13,395 | RESULT | Process-9 | [PAINLESS] result: status=SAT time=3.12s rc=10
2026-01-05 19:14:13,395 | RESULT | Process-9 | [PAINLESS] Shortcut: SAT at width=55
2026-01-05 19:14:13,396 | RESULT | Process-9 | Time taken: 5.71904444694519 seconds
2026-01-05 19:14:13,514 | INFO | MainProcess | Found a solution 55
2026-01-05 19:14:13,514 | INFO | MainProcess | [Test k=221, w=55] Time: 5.84 seconds
2026-01-05 19:14:14,958 | INFO | Process-10 | Number of variables: 375277
2026-01-05 19:14:14,959 | INFO | Process-10 | Number of clauses: 1873020
2026-01-05 19:14:14,959 | INFO | Process-10 | Real nums of clauses: 1874354
2026-01-05 19:14:14,959 | INFO | Process-10 | Real nums of variables: 375275
2026-01-05 19:14:15,858 | INFO | Process-10 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w56.cnf
2026-01-05 19:14:15,858 | INFO | Process-10 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w56.cnf
2026-01-05 19:14:18,647 | INFO | Process-10 | [PAINLESS] status=SAT rc=10 time=2.79s
2026-01-05 19:14:18,647 | RESULT | Process-10 | [PAINLESS] result: status=SAT time=2.79s rc=10
2026-01-05 19:14:18,647 | RESULT | Process-10 | [PAINLESS] Shortcut: SAT at width=56
2026-01-05 19:14:18,648 | RESULT | Process-10 | Time taken: 5.1315107345581055 seconds
2026-01-05 19:14:18,771 | INFO | MainProcess | Found a solution 56
2026-01-05 19:14:18,771 | INFO | MainProcess | [Test k=221, w=56] Time: 5.26 seconds
2026-01-05 19:14:20,255 | INFO | Process-11 | Number of variables: 375277
2026-01-05 19:14:20,255 | INFO | Process-11 | Number of clauses: 1878064
2026-01-05 19:14:20,255 | INFO | Process-11 | Real nums of clauses: 1879422
2026-01-05 19:14:20,256 | INFO | Process-11 | Real nums of variables: 375275
2026-01-05 19:14:22,676 | INFO | Process-11 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w57.cnf
2026-01-05 19:14:22,677 | INFO | Process-11 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w57.cnf
2026-01-05 19:14:25,512 | INFO | Process-11 | [PAINLESS] status=SAT rc=10 time=2.84s
2026-01-05 19:14:25,512 | RESULT | Process-11 | [PAINLESS] result: status=SAT time=2.84s rc=10
2026-01-05 19:14:25,512 | RESULT | Process-11 | [PAINLESS] Shortcut: SAT at width=57
