2026-01-05 01:24:51,590 | INFO | MainProcess | $$$$
2026-01-05 01:24:51,590 | INFO | MainProcess | Time taken for C-bcspwr01.mtx.rnd with k = 21: 1.5463533401489258 seconds
2026-01-05 01:24:51,590 | INFO | MainProcess | Maximum width for C-bcspwr01.mtx.rnd is 10
2026-01-05 01:24:51,937 | INFO | Process-10 | Number of variables: 4130
2026-01-05 01:24:51,937 | INFO | Process-10 | Number of clauses: 19741
2026-01-05 01:24:51,937 | INFO | Process-10 | Real nums of clauses: 19742
2026-01-05 01:24:51,937 | INFO | Process-10 | Real nums of variables: 4128
2026-01-05 01:24:51,947 | INFO | Process-10 | CNF written to cnf/v2\D_n48_k29\D_n48_k29_w4.cnf
2026-01-05 01:24:51,947 | ERROR | Process-10 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-05 01:24:51,951 | RESULT | Process-10 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-05 01:24:51,977 | INFO | MainProcess | Found a solution 4
2026-01-05 01:24:51,977 | INFO | MainProcess | [Test k=29, w=4] Time: 0.39 seconds
2026-01-05 01:24:52,321 | INFO | Process-11 | Number of variables: 4130
2026-01-05 01:24:52,322 | INFO | Process-11 | Number of clauses: 19741
2026-01-05 01:24:52,322 | INFO | Process-11 | Real nums of clauses: 19742
2026-01-05 01:24:52,322 | INFO | Process-11 | Real nums of variables: 4128
2026-01-05 01:24:52,333 | INFO | Process-11 | CNF written to cnf/v2\D_n48_k29\D_n48_k29_w5.cnf
2026-01-05 01:24:52,333 | ERROR | Process-11 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-05 01:24:52,343 | RESULT | Process-11 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-05 01:24:52,373 | INFO | MainProcess | Found a solution 5
2026-01-05 01:24:52,373 | INFO | MainProcess | [Test k=29, w=5] Time: 0.4 seconds
2026-01-05 01:24:52,724 | INFO | Process-12 | Number of variables: 4130
2026-01-05 01:24:52,724 | INFO | Process-12 | Number of clauses: 19741
2026-01-05 01:24:52,724 | INFO | Process-12 | Real nums of clauses: 19742
2026-01-05 01:24:52,724 | INFO | Process-12 | Real nums of variables: 4128
2026-01-05 01:24:52,735 | INFO | Process-12 | CNF written to cnf/v2\D_n48_k29\D_n48_k29_w6.cnf
2026-01-05 01:24:52,735 | ERROR | Process-12 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-05 01:24:52,753 | RESULT | Process-12 | No solution exists
2026-01-05 01:24:52,753 | RESULT | Process-12 | Time taken: 0.04212498664855957 seconds
2026-01-05 01:24:52,783 | INFO | MainProcess | No solution found 6
2026-01-05 01:24:52,783 | INFO | MainProcess | [Test k=29, w=6] Time: 0.41 seconds
2026-01-05 01:24:52,783 | INFO | MainProcess | $$$$
2026-01-05 01:24:52,783 | INFO | MainProcess | 5
2026-01-05 01:24:52,783 | INFO | MainProcess | $$$$
2026-01-05 01:24:52,783 | INFO | MainProcess | Time taken for D-bcsstk01.mtx.rnd with k = 29: 1.1933391094207764 seconds
2026-01-05 01:24:52,783 | INFO | MainProcess | Maximum width for D-bcsstk01.mtx.rnd is 5
2026-01-05 01:24:53,140 | INFO | Process-13 | Number of variables: 5098
2026-01-05 01:24:53,140 | INFO | Process-13 | Number of clauses: 15925
2026-01-05 01:24:53,140 | INFO | Process-13 | Real nums of clauses: 15926
2026-01-05 01:24:53,140 | INFO | Process-13 | Real nums of variables: 5096
2026-01-05 01:24:53,148 | INFO | Process-13 | CNF written to cnf/v2\E_n49_k35\E_n49_k35_w15.cnf
2026-01-05 01:24:53,149 | ERROR | Process-13 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-05 01:24:53,154 | RESULT | Process-13 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-05 01:24:53,182 | INFO | MainProcess | Found a solution 15
2026-01-05 01:24:53,182 | INFO | MainProcess | [Test k=35, w=15] Time: 0.4 seconds
2026-01-05 01:24:53,539 | INFO | Process-14 | Number of variables: 5098
2026-01-05 01:24:53,539 | INFO | Process-14 | Number of clauses: 15925
2026-01-05 01:24:53,539 | INFO | Process-14 | Real nums of clauses: 15926
2026-01-05 01:24:53,539 | INFO | Process-14 | Real nums of variables: 5096
2026-01-05 01:24:53,547 | INFO | Process-14 | CNF written to cnf/v2\E_n49_k35\E_n49_k35_w16.cnf
2026-01-05 01:24:53,547 | ERROR | Process-14 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-05 01:24:53,757 | RESULT | Process-14 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-05 01:24:53,789 | INFO | MainProcess | Found a solution 16
2026-01-05 01:24:53,789 | INFO | MainProcess | [Test k=35, w=16] Time: 0.61 seconds
2026-01-05 01:24:54,167 | INFO | Process-15 | Number of variables: 5098
2026-01-05 01:24:54,167 | INFO | Process-15 | Number of clauses: 15925
2026-01-05 01:24:54,167 | INFO | Process-15 | Real nums of clauses: 15926
2026-01-05 01:24:54,167 | INFO | Process-15 | Real nums of variables: 5096
